index,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pm,pmra,pmra_error,pmdec,pmdec_error,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,dr2_radial_velocity,dr2_radial_velocity_error,e_Gmag,e_BPmag,e_RPmag,bp_rp,hdbscan
48681,342728460256590208,28.05326707705325,0.26869088,37.78997088210144,0.259872,2.3402594376343613,0.2791125,15.940965,9.896160748377598,0.34559423,-12.497213577933922,0.31733742,601.5095543820721,2.211765,18.73926,108.34315896202538,11.21344,20.25154,817.5875934662992,11.556023,17.46656,,,0.003992277960378874,0.11237292602987807,0.015346114170988617,2.7849799999999973,268
48702,342728842510050176,28.110791535935174,0.037804402,37.75091682644627,0.039813966,2.3281480614103303,0.04469124,15.478087,9.907066284383117,0.053564887,-11.892065509301045,0.055096414,8597.379472539236,4.4967785,15.851452,2962.0248035224467,18.712688,16.65957,8201.333819985151,13.8224,14.963184,,,0.000567884113737504,0.0068591737738934256,0.0018298828515037739,1.6963859999999986,268
48839,342731316411310208,28.437276757713704,0.06441532,37.5952889501736,0.067907356,2.227196744886671,0.07740194,15.662116,10.146961216982817,0.09218221,-11.9306777245403,0.1069226,3118.750063420967,3.409272,16.952415,814.8841479858299,7.7829485,18.060802,3497.6450398171355,21.852787,15.888456,,,0.0011868761417219479,0.010369853171281617,0.006783524843335233,2.172345999999999,268
48965,342732450282586880,28.413295156065093,0.018753005,37.6539446166281,0.020646209,2.2665008804937474,0.023167307,15.292548,9.808805336080871,0.024117613,-11.73240734509909,0.02558427,28756.17116100154,15.075976,14.540539,12851.144006405948,26.842295,15.066188,22586.749169908617,31.539677,13.863261,,,0.0005692180949132502,0.0022677865477011847,0.0015160999463747005,1.2029270000000007,268
49047,345652615728688256,29.50970821244956,0.072893545,40.3463468336949,0.08314248,2.001954218514908,0.10166601,15.045473,9.532941703302274,0.103984244,-11.639985923258749,0.13866511,2501.08965927452,2.554485,17.192043,647.1595161609923,12.554773,18.311014,2758.867464479709,10.451395,16.146069,,,0.001108915403622942,0.0210630783419228,0.004113085564212883,2.1649449999999995,268
49161,342733962111154432,28.629488688713828,0.10435826,37.73563002158824,0.10393574,2.495518750825,0.11877104,15.448557,9.860265016343227,0.13355058,-11.89256450535066,0.15156592,1346.1500718740058,1.8696203,17.864634,315.55854819278613,7.7992296,19.090843,1566.07636781626,10.159009,16.760862,,,0.0015079406756149155,0.026834658716860096,0.007043081743927941,2.329981,268
49355,342735851896679296,28.38622018436096,0.016593276,37.70836943625147,0.017176686,2.276680355129039,0.019908186,16.643072,10.606485444841248,0.02020249,-12.825532684617524,0.022161292,1977360.6349850956,529.62964,9.947152,1155112.925874089,529.8221,10.181981,1193279.7180430037,282.74792,9.55604,10.663436,1.3237113,0.00029081092497087606,0.0004980006916775562,0.0002572654583181241,0.625941000000001,268
49386,342736023695458560,28.429964350393,0.017227357,37.72285805540761,0.019621097,2.278054781282201,0.021505,15.355977,10.027536262666938,0.022104105,-11.629898342506916,0.025702134,33250.064325906096,15.450516,14.382886,15131.493347620506,44.82061,14.888838,25734.14630556998,39.02452,13.7216215,,,0.000504515854133994,0.0032160314833695374,0.0016464635637878902,1.1672165000000003,268
49848,342740730979607808,28.69749856993524,0.090013735,37.83302606444204,0.08710515,2.304518150202554,0.10223184,15.465233,9.982486343204036,0.11092167,-11.812002364282076,0.12381607,2387.837437250312,3.4868758,17.242355,545.0434737909081,13.0396385,18.497465,2706.648496535874,12.179747,16.166817,,,0.0015854627448652844,0.025975189681546742,0.0048857442329948075,2.3306479999999965,268
50191,342744029514480512,28.73639512616092,0.021173658,37.97465735124949,0.018284803,2.1984701346029123,0.026196323,15.342852,9.9066348685818,0.021675752,-11.715873012772311,0.024098294,548324.8216232749,268.51236,11.339772,325252.1400172586,246.87447,11.557992,321483.93702887703,179.75208,10.979998,5.5359807,1.8036584,0.0005316804550521441,0.0008241008040569753,0.0006070702721269999,0.5779940000000003,268
